"","time_conv","f_id_sens","f_id_bin","f_id_bin_rev"
"697",2008-09-06,0,1,0
"698",2008-09-07,0,1,0
"699",2008-09-08,0,1,0
"700",2008-09-09,0,1,0
"701",2008-09-10,0,1,0
"702",2008-09-11,0,1,0
"703",2008-09-12,0,1,0
"704",2008-09-13,0,1,0
"705",2008-09-14,0,1,0
"706",2008-09-15,48,1,0
"707",2008-09-16,0,1,0
"708",2008-09-17,0,1,0
"709",2008-09-18,0,1,0
"710",2008-09-19,0,1,0
"711",2008-09-20,0,1,0
"712",2008-09-21,0,1,0
"713",2008-09-22,0,1,0
"714",2008-09-24,0,1,0
"715",2008-09-25,0,1,0
"716",2008-09-26,0,1,0
"717",2008-09-27,0,1,0
"718",2008-09-28,0,1,0
"719",2008-09-29,0,1,0
"720",2008-09-30,0,1,0
"721",2008-10-01,0,1,0
"722",2008-10-02,0,1,0
"723",2008-10-03,24,1,0
"724",2008-10-04,82,0,1
"725",2008-10-05,0,1,0
"726",2008-10-06,0,1,0
"727",2008-10-07,0,1,0
"728",2008-10-08,0,1,0
"729",2008-10-09,0,1,0
"730",2008-10-10,0,1,0
"731",2008-10-11,0,1,0
"732",2008-10-12,0,1,0
"733",2008-10-13,0,1,0
"734",2008-10-14,0,1,0
"735",2008-10-15,0,1,0
"736",2008-10-16,0,1,0
"737",2008-10-17,0,1,0
"738",2008-10-18,0,1,0
"739",2008-10-19,0,1,0
"740",2008-10-20,0,1,0
"741",2008-10-21,0,1,0
"742",2008-10-22,0,1,0
"743",2008-10-23,0,1,0
"744",2008-10-24,0,1,0
"745",2008-10-25,0,1,0
"746",2008-10-26,0,1,0
"747",2008-10-27,0,1,0
"748",2008-10-28,0,1,0
"749",2008-10-29,0,1,0
"750",2008-10-30,0,1,0
"751",2008-10-31,0,1,0
"752",2008-11-01,0,1,0
"753",2008-11-02,0,1,0
"754",2008-11-03,0,1,0
"755",2008-11-04,0,1,0
"756",2008-11-05,0,1,0
"757",2008-11-06,0,1,0
"758",2008-11-07,0,1,0
"759",2008-11-08,0,1,0
"760",2008-11-09,0,1,0
"761",2008-11-10,0,1,0
"762",2008-11-11,0,1,0
"763",2008-11-12,0,1,0
"764",2008-11-13,0,1,0
"765",2008-11-14,0,1,0
"766",2008-11-15,0,1,0
"767",2008-11-16,0,1,0
"768",2008-11-17,56,1,0
"769",2008-11-18,0,1,0
"770",2008-11-19,0,1,0
"771",2008-11-20,0,1,0
"772",2008-11-21,36,1,0
"773",2008-11-22,14,1,0
"774",2008-11-23,18,1,0
"775",2008-11-24,0,1,0
"776",2008-11-25,0,1,0
"777",2008-11-26,0,1,0
"778",2008-11-27,0,1,0
"779",2008-11-28,0,1,0
"780",2008-11-29,0,1,0
"781",2008-11-30,0,1,0
"782",2008-12-01,0,1,0
"783",2008-12-02,0,1,0
"784",2008-12-03,0,1,0
"785",2008-12-04,0,1,0
"786",2008-12-05,0,1,0
"787",2008-12-06,0,1,0
"788",2008-12-07,18,1,0
"789",2008-12-08,0,1,0
"790",2008-12-09,0,1,0
"791",2008-12-10,0,1,0
"792",2008-12-11,0,1,0
"793",2008-12-12,0,1,0
"794",2008-12-13,0,1,0
"795",2008-12-14,0,1,0
"796",2008-12-15,0,1,0
"797",2008-12-16,0,1,0
"798",2008-12-17,0,1,0
"799",2008-12-18,130,0,1
"800",2008-12-19,14,1,0
"801",2008-12-20,12,1,0
"802",2008-12-21,48,1,0
"803",2008-12-22,0,1,0
"804",2008-12-23,0,1,0
"805",2008-12-24,0,1,0
"806",2008-12-25,0,1,0
"807",2008-12-26,0,1,0
"808",2008-12-27,0,1,0
"809",2008-12-28,0,1,0
"810",2008-12-29,0,1,0
"811",2008-12-30,0,1,0
"812",2008-12-31,0,1,0
"813",2009-01-01,0,1,0
"814",2009-01-02,0,1,0
"815",2009-01-03,0,1,0
"816",2009-01-04,0,1,0
"817",2009-01-05,0,1,0
"818",2009-01-06,0,1,0
"819",2009-01-07,0,1,0
"820",2009-01-08,0,1,0
"821",2009-01-09,0,1,0
"822",2009-01-10,0,1,0
"823",2009-01-11,0,1,0
"824",2009-01-12,0,1,0
"825",2009-01-13,0,1,0
"826",2009-01-14,0,1,0
"827",2009-01-15,0,1,0
"828",2009-01-16,0,1,0
"829",2009-01-17,0,1,0
"830",2009-01-18,0,1,0
"831",2009-01-19,0,1,0
"832",2009-01-20,0,1,0
"833",2009-01-21,0,1,0
"834",2009-01-22,0,1,0
"835",2009-01-23,0,1,0
"836",2009-01-24,0,1,0
"837",2009-01-25,20,1,0
"838",2009-01-26,0,1,0
"839",2009-01-27,0,1,0
"840",2009-01-28,0,1,0
"841",2009-01-29,0,1,0
"842",2009-01-30,0,1,0
"843",2009-01-31,0,1,0
"844",2009-02-01,0,1,0
"845",2009-02-02,0,1,0
"846",2009-02-03,0,1,0
"847",2009-02-04,0,1,0
"848",2009-02-05,0,1,0
"849",2009-02-06,0,1,0
"850",2009-02-07,0,1,0
"851",2009-02-08,74,0,1
"852",2009-02-09,0,1,0
"853",2009-02-10,0,1,0
"854",2009-02-11,214,0,1
"855",2009-02-12,184,0,1
"856",2009-02-13,270,0,1
"857",2009-02-14,122,0,1
"858",2009-02-15,82,0,1
"859",2009-02-16,0,1,0
"860",2009-02-17,20,1,0
"861",2009-02-18,52,1,0
"862",2009-02-19,0,1,0
"863",2009-02-20,4,1,0
"864",2009-02-21,34,1,0
"865",2009-02-22,0,1,0
"866",2009-02-23,108,0,1
